 Nome Imagem,IOU,Dice_Score,Recall
 Im013,0.38,0.55,0.38
 Im016,0.81,0.90,0.87
 Im118,0.66,0.80,0.66
 Im157,0.68,0.81,0.68
 Im126,0.65,0.79,0.65
 Im117,0.56,0.72,0.56
 Im158,0.72,0.84,0.72
 Im048,0.65,0.79,0.65
 Im002,0.83,0.91,0.95
 Im120,0.63,0.77,0.63
 Im121,0.58,0.73,0.58
 Im069,0.71,0.83,0.71
 Im038,0.47,0.64,0.47
 Im103,0.81,0.90,0.81
 TOTAL,0.65,0.78,0.67
